B1;de;en
umarmen;to embrace
die Notaufnahme;the emergency room
theoretisch;theoretical
gestalten;to pattern, shape, fashion, design
der Strafzettel;the traffic ticket
fünfzehn;fifteen
murmeln;to mutter, murmur, mumble
sichtbar;visible
der Ratschlag;the advice, counsel
der Rechtsanwalt;the male lawyer
gefährden;to endanger, to threaten
die Kellnerin;the waitress
kindisch;childish
der Inhalt;the content
mitgehen;to go along
die Gewohnheit;the custom, the habit
wesentlich;essential
die Nachbarin;the female neighbour
die Jeans;the jeans
arabisch;Arabian
vermuten;to suppose
der Triumph;the triumph
der Terror;the terror
der Schnurrbart;the moustache
die Spaghetti;the spaghetti
gruselig;creepy, eerie, scary, spooky
der Kalender;the calendar
die Patrouille;the patrol
die Quittung;the receipt
kapieren;to understand
die Durchsage;the announcement
befürchten;to fear
der Gruß;the greeting, salute, salutation
die Jahreszeit;the season
die Mathematik;the mathematics
die Höflichkeit;the courtesy
wiederum;in turn, again
die Spezialität;the specialty
untergehen;to be destroyed
die Alliierten;the Allies
der Anrufbeantworter;the answering machine
der Mitbewohner;the housemate, the roommate
angeben;to state, boast, quote/cite
die Wurst;the sausage
sofern;provided that, as long as, if
das Argument;the argument
winzig;tiny
die Umarmung;the hug, the embrace
niedrig;menial, low, small
der Bund;the association
durstig;thirsty
anzünden;to light a candle, cigarette, etc.
das Streichholz;the wooden match
enorm;enormous
der Schweiß;the sweat
die Dauer;the duration
die Schüssel;the bowl
inklusive;inclusive
wegfahren;to drive away, to leave
der Geiger;the male violinist
das Geschwister;the sibling
der Kritiker;the male critic
der Haushalt;the household
die Nachfrage;the demand
der Terrorist;the terrorist
die Notiz;the note, memo
der Gipfel;the summit, the top
das Weltall;the universe, outer space
die Packung;the package, pack, packet
das Drittel;the third
gütig;kind, gracious
der Gastgeber;the host
ausleihen;to borrow
geduldig;patient, patiently
die Unterhose;the underwear, underpants
die Mittagspause;the lunch break
der Schinken;the ham
der Feuerwehrmann;the fireman
verbieten;to forbid
der Gärtner;the gardener
ermitteln;to ascertain, determine, detect, investigate
die Galerie;the gallery
entsprechen;to correspond, match, conform, comply
der Pfennig;the penny
das Tennis;the tennis
global;global
der Damm;the dam
der Abflug;the departure
ansprechen;to address, respond, approach
der Pullover;the sweater
der Comic;the comic
vermieten;to rent out
das Formular;the blank form
das Instrument;the instrument
einrichten;to establish, furnish
einschlagen;to strike, hit, cover sth, pursue sth
das Brötchen;the roll
ablegen;to file, to drop, to take
das Geschirr;the dishes, the dinnerware
das Chaos;the chaos, mayhem, disorder
abhängen;to depend
die Galaxie;the galaxy
die Klingel;the bell
die Bluse;the blouse
darstellen;to represent, constitute, present
fluchen;to curse, swear
das Armband;the bracelet
schleppen;to drag
weiblich;female
die Zahnbürste;the toothbrush
das Phänomen;the phenomenon
das Pflaster;the plaster, the adhesive tape
bellen;to bark
hereinkommen;to come in
das Telefonbuch;the telephone directory
die Reihenfolge;the order, sequence, chronology
die Fernbedienung;the remote control
die Abfahrt;the departure
durchmachen;to undergo, experience, go through
der Sessel;the armchair
das Kondom;the condom
schütteln;to shake
backen;to bake
das Popcorn;the popcorn
aufsetzen;to put on, to fit, to don, to draft
Ungarn;Hungary
die Heizung;the heating, radiator, heater
die Taschenlampe;the torch, the flashlight
der Fels;the rock, crag, bluff
politisch;political
die Physik;the physics
der Wecker;the alarm clock
die Biene;the bee
die Diskette;the diskette
der Kessel;the boiler, cauldron, kettle
das Outfit;the outfit
anderswo;somewhere else
der Konflikt;the conflict
die Behörde;the authority
pflegen;to maintain, to care for, to look after
der Sekretär;the male secretary
der Flugplatz;the airfield
der Orangensaft;the orange juice
der Mieter;the renter, tenant, lodger
tanken;to fuel, to refuel, to tank up
die Ausstellung;the exhibition, exposition, display
der Pudding;the pudding
Irland;Ireland
der Frost;the frost
der Klatsch;the gossip
günstig;favourable, cheap, convenient
die Haustür;the front door
die Erkältung;the common cold
der Briefkasten;the mailbox
teilweise;partially
vierzig;forty
vergiften;to poison
passend;appropriate, convenient, suitable, fit
dreizehn;thirteen
kopieren;to copy
die Industrie;the industry
der Wohlstand;the prosperity, affluence
die Lupe;the magnifying glass, magnifier
der Ski;the ski
die Region;the region, county, area
der Slip;the panties, the briefs
anmachen;to light, turn on to turn on
investieren;to invest
der Schilling;the shilling
der Anschluss;the connection, port, terminal, line
deuten;to indicate, suggest, interpret, to point
der Herd;the stove, oven, furnace
bankrott;bankrupt
das Regal;the shelf
komplex;complex
das Semester;the semester
die Depression;the depression
die Türkei;the Turkey
das Frühjahr;the spring
einpacken;to pack
Latein;Latin
das Arbeitszimmer;the study, den, workroom
verstärken;to strengthen
auslösen;to trigger, to initiate
der Cousin;the male cousin
flüchten;to escape, to flee
fleißig;hardworking, diligent
der Kindergarten;the kindergarten
der Vorwurf;the reproach
kritisch;critical
der Erzbischof;the archbishop
verspätet;delayed
blockieren;to block
der Standort;the site, location, habitat
ärgerlich;annoying, angry, troublesome
die Wiener;the Viennese
reduziert;reduced
die Ampel;the traffic light
die Jugendliche ;the female young person, juvenile, adolescent
der Jugendliche n n;the male young person
beklagen;to lament, to moan
vermitteln;to convey, impart, mediate
nähen;to sew
die Telefonzelle;the telephone booth
der Klempner;the plumber
verhören;to interrogate, examine, question
der Kanzler;the male chancellor
der Scanner;the scanner
die Stiefmutter;the stepmother
die Investition;the investment
modern;modern
das Maß;the measure, degree, extent, measurement
die Sonnenbrille;the sun glasses
die Zeichnung;the drawing
die Erkenntnis;the insight, realisation, knowledge, recognition
tippen;to type
die Grausamkeit;the cruelty
die Perspektive;the perspective
klatschen;to clap
das Getränk;the beverage
die Schwägerin;the sister
die Verwendung;the usage, application, utilization
der Tierarzt;the veterinarian
Brasilien;Brazil
falten;to fold
die Nuss;the nut
letztlich;ultimately, lately, eventually, at the latest, in the end
jüdisch;Jewish
der Architekt;the architect
bislang;up to now, so far, yet
der Verein;The Association, the club
die Tonne;the ton, barrel, bin
das Einkaufszentrum;the shopping centre
das Weihnachtsgeschenk;the Christmas present
der Lumpen;the rag
der Aufsatz;the essay, composition, article
endlos;endless
herauskommen;to come out
das Mehl;the flour
das Management;the management
vielmehr;rather
der Kanadier;the Canadian person
die Sowjetunion;the Soviet Union
bevorzugen;to prefer
beste;best
die Schildkröte;the turtle, tortoise
zusätzlich;additional, additionally, supplementary, furthermore
die Debatte;the debate
der Dialog;the dialogue
die Studie;the survey, study
der Schreck;the fear, fright, schock, scare
die Bedienung;the service in a restaurant, etc.
die Veranstaltung;the event
der Forscher;the researcher
der Absatz;the paragraph
die Enkelin;the granddaughter
die Gabel;the fork
das Wachstum;the growth
griechisch;Greek
die Dimension;the dimension
schlank;slim
kleben;to glue, to stick on
die Aktentasche;the briefcase
fügen;to mate/join together to place, put, joining, mating
gelingen;to succeed, be successful, to work out
die Lehne;the rest, back rest, arm rest, geological slope
das Silvester;the New Year's Eve
der Designer;the designer
schriftlich;in writing
der Heimweg;the way home
der Fußboden;the floor, flooring
unerhört;incredible, outrageous, unheard
die Verwaltung;the administration, maintenance
tätig;active
der Arbeitgeber;the employer
das Kaufhaus;the department store
das Medikament;the drug, medicine, medicament
ausfüllen;to fill in a form
die Bremse;the brake
gießen;to water, pour
veröffentlichen;to publish
das Gleis;the track, platform, rail
kostenlos;free, without charge
unzufrieden;dissatisfied
äußern;to express
die Hypothek;the mortgage
die Terrasse;the terrace
der Vorsitzende n n;the chairman
der Dom;the cathedral
der Vulkan;the volcano
das Niveau;the level
die Trompete;the trumpet
der Filmstar;the filmstar
besetzen;to occupy
der Stiefvater;the stepfather
polnisch;Polish
das Einkommen;the income
das Poster;the poster
versammeln;to gather
wegrennen;to run away
der Konzern;the concern, group, corporation
wiegen;to weigh
das Wachs;the wax
geladen;loaded
der Kopfhörer;the headphone
das Haustier;the pet
das Stockwerk;the floor of a multi
raffiniert;refined
der Scheinwerfer;the headlight, the floodlight, spotlight
defekt;defective
der Pulli;the sweater
der Oberst;the colonel
flirten;to flirt
die Taktik;the tactic, policy
die Existenz;the existence
der Heiligabend;the Christmas Eve
der Schreiber;the clerk, scribe, writer
sympathisch;likeable, pleasant, sympathetic
gestresst;stressed
anhand;based on, against, via
hungern;to go hungry
die Künstlerin;the female artist
äußere;outer, utter, external
saugen;to suck, to draw, to vacuum
hingegen;whereas, however, on the contrary, on the other hand
identisch;identical
Jura;the law
zitieren;to cite, quote
die Hausarbeit;the housework
die Aufführung;the performance, recital
die Krankenpflege;the nursing
der Entwurf;the draft, outline, blueprint, design, plan
die Klippe;the cliff
das Teleskop;the telescope
das Fax;the fax
die Software;the software
die Polizistin;the female police officer
auswählen;to select, choose, pick out, elect
der Gummi;the rubber, gum
der Sekt;the sparkling wine, bubbly, German champagne
Belgien;Belgium
wahren;to maintain, protect, safeguard, keep
korrigieren;to correct
aufwachsen;to grow up
das Einhorn;the unicorn
der Feiertag;the public holiday
die Tablette;the pill, the tablet
das Parlament;the parliament
der Schiedsrichter;the referee
trocknen;to dry
die Auskunft;the information
belasten;to burden
katholisch;Catholic
der Arbeitsplatz;the place of work
der Ochse;the ox
der Tourist;the tourist
erweitert;extended, augmented, widened
die Chefin;the female boss
die Grundschule;the elementary school, primary school
höllisch;hellish
berechnen;to charge, calculate
die Architektur;the architecture
die Mathe;the math
das Lenkrad;the steering wheel
das Bündel;the bundle
das Ostern;the Easter
ausschließlich;solely, exclusively, exclusive
die Fassade;the facade
die Cousine;the female cousin
unvorstellbar;unimaginable
die Website;the website
die Seide;the silk
die Beleuchtung;the lighting
der Kronleuchter;the chandelier
Dänemark;Denmark
eigen;own
zurückzahlen;to pay back
das Abendbrot;the supper
der Dachboden;the attic
das Seminar;the seminar
religiös;religious
der Punk;the punk, scum, sleazebag
manche;some, many a
auflösen;to dissolve, solve
die Eigenschaft;the feature, property, characteristic, trait
die Diebin;the female thief
austauschen;to exchange, swap, substitute, replace
erstmals;for the first time
der Leser;the reader
die Malerei;The act of painting
der Matrose;the sailor
die Mehrheit;the majority
die Hausfrau;the housewife
beschämt;ashamed
kritisieren;to criticise
der Lebensunterhalt;the means of subsistence, livelihood, one's living
der Kandidat;the candidate
zornig;angry
die Darstellung;the presentation, representation, display
die Freundlichkeit;the friendliness
die Banane;the banana
undankbar;ungrateful
das Nachthemd;the nightgown, night
der Elefant;the elephant
Chile;Chile
die Postkarte;the postcard
betonen;to stress
die Marmelade;the jam, jelly
der Karton;the cardboard, carton
fördern;to promote, encourage, foster
der Schwan;the swan
der Teilnehmer;the participant
die Schnecke;the snail, slug, escargo
aufgeräumt;tidy, cheerful
die Planung;the planning
flicken;to mend
primitiv;primitive
die Jüdin;the female Jew
der Campus;the campus
unterschiedlich;different
der Ellbogen;the elbow
glänzend;shiny
die Schwiegermutter;the mother
auspacken;to unpack
der Durchschnitt;the average
erfassen;to capture, gather, seize, understand
die Vorlesung;the lecture, course, reading
aufessen;to eat up
der Bleistift;the pencil
die Flöte;the flute, whistle
der Nordpol;the North Pole
der Lebenslauf;the résumé, curriculum vitae, course of life
die Kundin;the female customer
reservieren;to reserve
die Biologie;the biology
die Sensation;the sensation
senken;to decline, reduce
die Ausfahrt;exit / highway exit
weitergeben;to pass, to hand over
grunzen;to grunt
die Lippe;the lip
anschnallen;to fasten, buckle up, strap on
züchten;to breed, raise, grow
bedeutungslos;meaningless
die Alarmanlage;the alarm, system or equipment
bedeutend;major, substantial, significant, important
eineinhalb;one and a half
das Notizbuch;the notebook, diary
die Institution;the institution
der Stau;the congestion, traffic jam
der Haarschnitt;the haircut
schnarchen;to snore
die Einfahrt;entry, driveway
das Schlagzeug;the drums, percussion
der Witwer;the widower
das Theaterstück;the theatrical play
der Metzger;the butcher
der Vegetarier;the vegetarian
Pakistan;Pakistan
auffallen;to stand out, attract attention, be apparent
das Wörterbuch;the dictionary
abbiegen;to bend
der Regenschirm;the umbrella
psychisch;psychological
eilen;to hurry
